title,slogan,address,phone/0,email,web,categories/0,phone/1,categories/1,categories/2,socialNetwork/0,socialNetwork/1,categories/3,phone/2,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categories/12,socialNetwork/2,socialNetwork/3,categories/13,categories/14,categories/15,categories/16,categories/17,categories/18,categories/19,,phone/3,phone/4,phone/5,phone/6,phone/7,phone/8,phone/9,categories/20,categories/21,categories/22,categories/23,categories/24,categories/25
Domino Construcciones,, Barrio Lazareto Turuguapa Nº 2160 ,3469199,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melgar & Asociados,Estudio Jurídico, Calle Ballivian Esq. Chuquisaca ,3361244,info@melgarabogados.com,,Estudios jurídicos,3300150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARBAL GROUP LTDA.,, Av. Claracuta N° 700 ,7602880,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODONTO CARE,, Calle Moldes N° 550 ,3366732,,,Servicios médicos y odontológicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA SERVIMOXOS,, B/ Hamacas C/leon Pucher N° 10 ,3417461,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUJO Y ESTILO,, Av. 3 Pasos Al Frente N° 4590 ,,,,Alquiler de otros efectos personales y enseres domésticos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMAX S.R.L.,, Calle Rene Moreno Barrio Casco Viejo N° 130 ,3334137,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabrimport Ltda,, Cnel. Gabino Ibañez Nº 3780 ,3520024,,,Metalmecánicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lic. Pitter Garcia C.,Fisioterapeuta y Kinesiólogo, Calle padre Perez esquina Fidel Oliva ( 1 cuadra del 2do anillo). ,3287680,,,Fisioterapia,75568957,Kinesiología,Fisioterapeutas,https://www.facebook.com/fisioykines/?eid=ARCl2pf36pFuFvu1Diu2GYYHxZs-4KH2HhTmkOCwiIG5erFSL7axUDCQEL6ZAQMRCYJ12edp1ldEBMpV,https://www.facebook.com/Radiantmedic/?epa=SEARCH_BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEDESA,|El mayor proveedor de soluciones Médicos y Odontológicos del País|, Calle Padre Joaquin de Velasco Nº39 ,336-8165,info@gedesa.com,www.gedesa.web.bo,Equipos de diagnóstico por imagen,,Equipos médicos,Materiales Médicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTN TRAVEL SERVICE S.R.L.,, Av. CaÑoto Esq/ Centenario Bario Palermo N° 175 Edificio: Centro Comercial CaÑoto Piso: 1 Oficin ,3349777,,,Actividades de agencias de viajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emsudbol Srl,, Av. Cristo Redentor Km 2 1/2 ,3432210,,,Ingenieros ambientales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROLOGIA CENTER CHARCOT S.R.L.,, Av. CaÑoto Esq. 21 De Mayo N° S/n ,3391331,,,Servicios médicos y odontológicos,,Neurocirujanos,Médicos neurocirujános,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA SERTECCON S.R.L.,, Avenida Iberica N° 2589 Edificio: Condominio Morte Verde Piso: Pb Oficina: 102 ,3350073,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uriarte,Centro de Danza, Calle Ingavi N° 592 ,3378786,,,Academias de danza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANIA CUEVAS LIFE COACH,, C. CaÑada Stronget N° S/n Edificio: Condominio Gyayra Piso: Bloque 2 Oficina: Dept. 5b ,2772771,,,Actividades de consultoría de gestión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dra. Leticia Garcia C.,Medico Dermatólogo, Calle padre Perez esquina Fidel Oliva ( 1 cuadra del 2do anillo) ,3287680,,,Médicos dermatólogos,75568957,Dermatologia,Cirujano dermatologo,https://www.facebook.com/Dermatologiaclinic/?eid=ARCRVRctYEwCHHcXtUQsLQbuQG8AEYEwpOCtRqP4C7U47sWkYxJQiXSO2eIxImNAnkHXyZUWkbJZ95oM,https://www.facebook.com/Radiantmedic/?epa=SEARCH_BOX,Médico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTILEN,, Calle Suarez De Figueroa N° 282 ,3301993,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRONICA VIRTUAL S.R.L.,Ventas y Servicios Redes y Telecomunicaciones, Calle Quijarro Nº 71 ,3376338,elecvirtual@cotas.com.bo,www.electronicavirtual.web.bo,Equipos y materiales para empresas de telecomunicaciones,,Radio comunicadores,Redes de computadoras,,,Técnicos en electricidad y electrónica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dino Srl,, Av. Brasil Nº 714/4º Anillo ,3469278,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLA PRODUCCIONES S.R.L.,, Calle Los Lirios N° 305 ,3444264,,,Alquiler de otros efectos personales y enseres domésticos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecobiotec Ltda,, ,3329048,,,Ingenieros ambientales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROCIENCIA SERVICIOS DE SALUD MELGAR,, Calle Rio Saguayo N° 3050 ,3447000,,,Servicios médicos y odontológicos,,Neurocirujanos,Médicos neurocirujános,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padilla & Abogados Asociados,Estudio Jurídico, Av. Monseñor Rivero Nº 376 ,3341694,,,Estudios jurídicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofersa Ltda,, Guarey Sur Nº 24 ,3427070,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA SANTOS LARA FLORES,, Radial 13 C/hernan Parejas N° 92 ,3704420,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,, Callle Velasco 247 N° 247 ,3340232,,,Actividades de consultoría de gestión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA ZAHID,, Calle Velasco N° 54 ,3281811,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGISTICS A.C.P.,, Calle Republiquetas N° 161 ,3708323,,,Actividades de seguridad privada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecoservi,, Av. Ayolas Nº 621 ,3521560,,,Ingenieros ambientales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americancom SRL,," Hamacas, calle Cayú 3340 (Av. Alemana entre 3er y 4to anillo) ",3410056,info@americancom.com.bo,americancom.com.bo/,Agencias despachantes de aduana de Santa Cruz,3410057,Agencias despachantes de aduana,Exportaciones,,,Importaciones,72202170,Despachante de aduana,Aduanas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIACON TOURS,Agencia de Viajes y Congresos, Calle Rene Moreno Nº 215 Entre Pari y Suarez de Figueroa ,3363610,,www.viacontours.com,Agencias de viaje y turismo,72659538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROCENTER IMAGENES MEDICAS S.R.L.,, Calle 21 De Mayo N° S/n ,334-5200,,,Otros servicios relacionados con la salud humana,,Neurocirujanos,Médicos neurocirujános,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longaric Rodriguez Sonia,Abogada, Arenales Nº 178 ,3323144,,,Abogados multidisciplinarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apolo Ltda,, Av. San Aurelio/3º Anillo Externo ,3526316,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA SANTA CRUZ LTDA. CONCRUZ LTDA.,, Calle JoaquÍn Pantoja N° 23 ,3411661,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDADORES DE SINIESTROS - LISIN,, Calle Mataral Esquina Moile N° 409b ,3337143,,,Actividades de seguridad privada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semaico,, Km. 4 Carret. Al Norte ,3423007,,,Medidores para agua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA XJAVIER,, Calle Seoane N° 188 ,3317491,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALAVERA Y ASOCIADOS S.R.L.,, Calle San Miguel N° 37 ,3346808,,,Actividades de consultoría de gestión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI PEQUEÑO HOGAR,, Av. Alemana Calle Las PiÑas Esq. Sandia N° S/n ,70920665,,,Otras actividades de asistencia social sin alojamiento n.c.p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limpias Hurtado Julia Laida,Abogada, Calle 21 de Mayo Nº 161 Primer Piso Of. 2 ,3368531,julia.limpias@scbbs-bo.com,,Abogados multidisciplinarios,3324335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA SALGUERO,," Barrio Polanco, Calle C N° 40 ",3579227,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ddavi,, Caleria Casco Viejo Planta Alta Local Nº 116 ,3345404,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRORED BOLIVIA S.R.L. (CENTRAL),Materiales Eléctricos en General," Av. Santa Cruz N° 262, entre Charcas y Puerto Suarez (2º anillo) ",3368888,,electrored.com.bo,Aisladores polimericos,,Automatización industrial,Cables eléctricos,https://www.facebook.com/electroredbolivia,http://www.linkedin.com/company/electroredbolivia,Empalmes,,Escaleras de fibra de vidrio,Iluminación industrial,Instrumentos de medición,Interruptores breakers,Materiales antiexplosivo,Materiales eléctricos,Muflas,Pararrayos polimericos,Seccionadores polimericos,http://www.twitter.com/electroredsrl,http://www.youtube.com/user/electroredbolivia,,,,,,,,,,,,,,,,,,,,,
KINESIS,CENTRO DE FISIOTERAPIA Y REHABILITACION, Av. Velarde Nº 145 ,3370668,kinesis-scz@hotmail.com,www.kinesis-scz.web.bo,Centros de rehabilitación física y funcional,,Fisioterapeutas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA VISUALTEX,, C/libertad N° 261 ,3363740,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LILIAN MARGARITA FERREYRA DE CALASICH,, 3° Anillo Interno N° S/n ,3438630,,,Alquiler de maquinaria y equipo de construcción e ingeniería civil sin operador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itecs Srl,, Av. Virgen de Cotoca 5º Anillo ,3466677,,,Medidores para agua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodríguez Mendoza Soc. Civ.,Consultora Jurídica, Av. Irala Nº 585 ,3338099,,,Consultoras jurídicas,3322138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constructores Asociados,, Av. Busch Nº 164 ,3335479,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIFIS,, C/ Los Tajibos N° 2250 ,70933015,,,Otros servicios relacionados con la salud humana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAITA S.R.L.,, Calle 3 (lugones) Entre Calle 2 Y 4 N° 404 Edificio: Equipetrol ,2446858,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE,Fábrica de Cajas Fuertes, Calle Sucre esq. Campero Nº 505 ,3366275,,cajasfuertescase.godaddysites.com,Cajas fuertes,3376610,Computadoras y accesorios,Fábricas de cajas fuertes,https://www.facebook.com/1544286302530628,, Impresoras y accesorios,,Mantenimiento de cajas fuertes,Sistemas de seguridad,Traslados de cajas fuertes,Fábricas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA ROMA TERRINONI S.R.L.,," Avenida Los Cusis, Esquina Ochoo N° 2200 Edificio: Edificio Aventino Piso: Pb Oficina: 1-b ",3417075,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Privada Boliviana - UPB,Compromiso de excelencia, Los Cusis # 2090 entre Av. Alemana y Beni ,3453055,upb@upb.edu,,Escuelas de postgrados,3421113,Universidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA VISOL,, Calle EspaÑa N° 598 ,3397929,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballivian Salek Ximena,, Sapoco Nº 46/ Av. Pirai ,3524183,,,Materiales Médicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viabol Srl,, Cobija Nº 24 ,3371066,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBRERIA GRAFITIS,," Av. Cuarto Anillo Barrio Hamacas, Plan 12 N° 4190 ",347-3371,,,"Actividades de fotocopiado, preparación de documentos y otras actividades especi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Cayetano,Veterinaria, Calle Chiriguano Nº 32 ,3580056,,,Veterinarias,3123274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDICOS ASOCIADOS CLINICA NORTE SOCIEDAD DE RESPONSABILIDAD LIMITADA. CLINICA NO,, Calle Warnes Esq.angel Sandoval N° S/n. Piso: S/n. Oficina: S/n. ,9221100,,,Servicios médicos y odontológicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPCONES SRL.,Consultores & Asociados S.R.L., Calle Prolongación Ballivián Nº 879 ,3398780,dipcones.consultores@gmail.com,www.dipcones.web.bo,Auditores,,Consultoras contables,Consultoras en administración y gestión empresarial,,,Consultoras financieras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2 INTEGRACION & SERVICIOS LTDA.,, Calle 9 N° 140 ,3459000,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA VIP,, Calle 21 De Mayo N° 246 Edificio: Nadra Piso: P.b. Oficina: 1 ,330-4313,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen,, Calle 7 Los Laureles Nº 2060 Av. Paragua ,3493100,,,Materiales Médicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constructora Urbanizamos,, Calle Platanillos Condominio Suto ,3377764,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATINO AMERICANA DE VIAJES Y TURISMO LIMITADA,, C/ Quijarro N° 50 ,3333171,,,Actividades de agencias de viajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARAGUI,, Calle Leon Mousnier N° 104 ,3533317,,,Servicios médicos y odontológicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,Veterinaria, Arenales Nº 197/Murillo ,3334875,,,Veterinarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIMENA XIMENEZ,Eventos - Un evento Un Suceso," Calle Guemes Oeste Nº4 Edif. THE LOFT, of. 305, 2do. Piso ",3431643,ximena@ximenaximenez.com,www.amarillas.bo/ximenaximenez,Consultoras de márketing,3121586,Diseñadores gráficos,Organización de eventos,,,,3444439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA ROCA MANUEL,, Calle 5 Tamarindo N° S/n ,608-50628,,,Construcción de obras de ingeniería civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE Sucursal 1,Fabrica de Cajas Fuertes, Av.paurito #6245 ,3649707,,cajasfuertescase.godaddysites.com,Cajas fuertes,,Fábricas de cajas fuertes,Mantenimiento de cajas fuertes,,,Sistemas de seguridad,,Traslados de cajas fuertes,Fábricas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.K.N. INGENIERIA,, Calle Pedro De Callau N° 3618 ,3644074,,,Ensayos y análisis técnicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Caballeros,, Parque Industrial Pi 42 Carretera A Cotoca Km 1 1/2 ,3492929,,,Industrias metalúrgicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CAÑADA,, Calle Dechia N° 220 ,3535063,,,Limpieza general de edificios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA TECNOVISION,, Calle Charcas N° 18 ,70405645,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAUDIMAR,BOUTIQUE, Calle Ingavi No 165 ,3363717,,,Boutiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Rios,, Rio Grande Nº 486 ,3533525,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropecuarios El Potrero,Veterinaria, Av. Ejercito Nacional Nº 220 ,3323268,,,Veterinarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABORATORIOS DE ANALISIS CLINICOS IRENE,, C/cochabamba Esq.c/republiquetas N° 412 ,3346445,,,Otros servicios relacionados con la salud humana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA RAMOS AYARACHI,," Barrio Kisei Nakada, Calle S/nombre, Lote 5 N° S/n Edificio: S/n. Piso: S/n. Oficina: S/n. ",77836845,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURLATINA S.R.L.,, Av. Mutualista Calle 6 Las Cuquisas N° 2145 ,3470006,,,"Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRORED BOLIVIA S.R.L. (SUCURSAL),Materiales Eléctricos en General, Av. Paraguá Nº 760 entre Lázaro de Ribera y 4º Anillo ,3466262,,electrored.com.bo,Aisladores polimericos,,Automatización industrial,Cables eléctricos,http://www.youtube.com/user/electroredbolivia,http://www.twitter.com/electroredsrl,Empalmes,,Escaleras de fibra de vidrio,Iluminación industrial,Instrumentos de medición,Interruptores breakers,Materiales antiexplosivo,Materiales eléctricos,Muflas,Pararrayos polimericos,Seccionadores polimericos,http://www.linkedin.com/company/electroredbolivia,https://www.facebook.com/electroredbolivia,,,,,,,,,,,,,,,,,,,,,
Asintec,, Zona Parque Industrial Of. 4º Anillo 1760 ,3470084,,,Aislantes térmicos,3485815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLASTICOS SAO PAULO,DISTRIBUIDORES PLÁSTICOS, Calle Ballivian 456 ,3395314,plasaopaulo_bo@hotmail.com,www.plassaopaulo.web.bo,Artículos de plástico,,Artículos de plástico desechables,Envases de plástico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granco,, Av. Beni Nº 277 ,3423700,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vetshopp,Veterinaria, Av. Santos Dumont ,3556768,,,Veterinarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRINOX,, Av.roque Aguilera Esq.calle Jupiter N° 3230 ,76392662,,,Alquiler de vehículos automotores sin conductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA TAYLOR LTDA.,, Calle Libertad_esquina Andres IbaÑez N° 695 Edificio: Libertad Piso: Pb ,3323338,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERMERCADO AGROPECUARIO MULTIMARCAS PET CENTER S.R.L.,, Av. Cristo Redento N° 3223 ,344-6340,,,Actividades veterinarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecomat Ltda,, Av. Cristo Redentor Km 2 1/2 ,3432210,,,Consultoras ambientales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABORATORIO RIDES,, Calle Peru N° 30 ,32-4494,,,Otros servicios relacionados con la salud humana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empresa Nacional Boliviana Constructora ENABOLCO,Construcciones Metálicas y Galvanizado, Parque Industrial Manzana PI 34 Norte ,3646045,,www.enabolco.com,Construcciones,,Construcción civil,Empresas constructoras,,,Constructoras,,Empresas de telecomunicaciones,Equipos y materiales para empresas de telecomunicaciones,Estructuras metálicas,Industrias metalúrgicas,Maquinarias industriales,Maquinarias para metalmecánicas,Metalmecánicas,Perfiles de acero,Plantas galvanizadoras,,,Telecomunicación,Telecomunicaciones,Fábricas,,,,,,,,,,,,,,,,,,
NUEVA GRACIA,Servicio integral de decoración y eventos, Calle Ballivian No. 722 ,,marina_robles@hotmail.com,www.nuevagracia.web.bo,Alquiler de mesas y sillas,,Alquiler de vajillas,Decoraciones,,,Decoración de interiores,, Organización de eventos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA PROYECTO S.R.L.,, Av.general San Martin N° 13 Edificio: Fragata Tower Piso: 1 Oficina: 1 ,3298557,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa Propia,, Av. Japon Nº 279 ,3453205,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agroservet Srl,Productos de Veterinaria, Av. Tarumá Nº 280 ,3510001,agservet@entelnet.bo,,Productos veterinarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONSTANTAKO,, Calle Warnes N° 513 ,3310900,,,Alquiler de vehículos automotores sin conductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA SUAREZ LUNA,, Calle Seoane N° 31 Edificio: Patio Colonial Piso: 1 Oficina: 2 ,3271144,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metales Dar Srl,, Av. Banzer 5º Anillo ,3114816,,,Metalmecánicas,3449426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMET INGENIERIA,, Calle Padre Landini N° 88 ,3337004,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA PORTACHUELO,," Av.el Estudiante, Barrio Central N° 232 ",924-2600,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABORATORIO MEDILAB- MAN,, Calle Cuellar Esq. Sara N° 487 ,333-7533,,,Otros servicios relacionados con la salud humana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concibol Ltda,, Mercedes Gutierrez Nº 11 ,3441083,,,Empresas constructoras,3441086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Previt Productos,Productos de Veterinaria, . ,3375879,,,Productos veterinarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATSERVICE S.R.L,," Doble Via La Guardia Km 13, Calle Caribe N° 15 ",76007822,,,Alquiler de vehículos automotores sin conductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMBRE Y NATURALEZA BOLIVIA,"ONG. Desarrollo Social, Conservación Naturaleza", Calle M.I. Salvatierra 1015 ,3396012,hynb@cotas.com.bo,www.hombreynaturaleza.web.bo,Asociaciones,,Consultoras ambientales,Ongs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA SARA,, Calle Arenales N° 693 ,33399959,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mensajeria Expreso,, Calle Ñuflo de Chavez Nº 335 ,3349677,,,Servicios de mensajería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORTOBOM,Trae para usted el colchón de sus sueños," Casa Desing Center, Local 25 ",3369394,ortobom@cotas.com.bo,www.ortobombolivia.com,Artículos para el hogar,3201163,Colchones,Fábrica de Colchones,https://www.facebook.com/ortobombolivia/,,Frazadas,,Venta de colchones,Fabricación de muebles y colchones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUCEL COMUNICADORES ASOCIADOS S.R.L.,, Av. Beni Barrio Hamacas Calle Rochela Esq. C/ Rio Morotoco N° S/n Edificio: S/n. Piso: S/n. Ofic ,3253508,,,Actividades de consultoría de gestión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aries Ltda,, Ayacucho Nº 593 ,3346792,,,Empresas constructoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTORA PIEDRA FUNDAMENTAL,, Moxos N° 256 ,77002006,,,Construcción de edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABORATORIO GOMEZ,, Av. Santos Dumont N° 700 ,3551918,,,Otros servicios relacionados con la salud humana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutricion y Sanidad Animal,Productos de Veterinaria, Calle 5 Oeste Nº 115 Barrio Equipetrol ,3330079,,,Productos veterinarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIROS S.R.L.,, Calle Los Lirios Nro 14 Barrio Sirari N° 14 Edificio: Providencia Piso: Pb ,3446700,,,Actividades de seguridad privada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTICA SAMARITANA,, Calle Ayacucho N° 378 ,70870541,,,Fabricación de instrumentos de óptica y equipo fotográfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litotripsia,, Av. Cañoto Nº 800 ,3537330,,,Centros educativos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
